"","vc","br","conc","cond","log10conc","Mm_in_broth_median","Mm_in_broth_mad","Mm_in_broth_mean","Mm_in_broth_sd"
"1","VC DMSO 0.3%",1,0.00411522633744856,"-",-2.38560627359831,1.14976895894557,0.0695620015963585,1.14714194647933,0.070202971481233
"2","VC DMSO 0.3%",1,0.0123456790123457,"-",-1.90848501887865,1.14884098764318,0.0769087241889893,1.15430500470177,0.0633983838497968
"3","VC DMSO 0.3%",1,0.037037037037037,"-",-1.43136376415899,1.12470932530876,0.0529592328112949,1.14284049177665,0.0651294102733516
"4","VC DMSO 0.3%",1,0.111111111111111,"-",-0.954242509439325,1.12419775916891,0.0721944683352682,1.12730644469869,0.0736402835956886
"5","VC DMSO 0.3%",1,0.333333333333333,"-",-0.477121254719663,1.10609288866466,0.0796276252554951,1.11076972316823,0.079381664610161
"6","VC DMSO 0.3%",1,1,"-",0,1.1161120547605,0.0662935454195452,1.10472381264276,0.085108503937005
"7","VC DMSO 0.3%",1,0.00411522633744856,"Mo_65",-2.38560627359831,0.857583157528724,0,0.857583157528724,NA
"8","VC DMSO 0.3%",1,0.0123456790123457,"Mo_65",-1.90848501887865,0.926544267321716,0,0.926544267321716,NA
"9","VC DMSO 0.3%",1,0.037037037037037,"Mo_65",-1.43136376415899,0.921912245454378,0,0.921912245454378,NA
"10","VC DMSO 0.3%",1,0.111111111111111,"Mo_65",-0.954242509439325,0.886599400304464,0,0.886599400304464,NA
"11","VC DMSO 0.3%",1,0.333333333333333,"Mo_65",-0.477121254719663,0.922484587158246,0,0.922484587158246,NA
"12","VC DMSO 0.3%",1,1,"Mo_65",0,0.951609788045786,0,0.951609788045786,NA
"13","VC DMSO 0.3%",1,0.00411522633744856,"Pt_48",-2.38560627359831,0.833305684040217,0,0.833305684040217,NA
"14","VC DMSO 0.3%",1,0.0123456790123457,"Pt_48",-1.90848501887865,0.900779054734309,0,0.900779054734309,NA
"15","VC DMSO 0.3%",1,0.037037037037037,"Pt_48",-1.43136376415899,0.836987986106924,0,0.836987986106924,NA
"16","VC DMSO 0.3%",1,0.111111111111111,"Pt_48",-0.954242509439325,0.858769528011262,0,0.858769528011262,NA
"17","VC DMSO 0.3%",1,0.333333333333333,"Pt_48",-0.477121254719663,0.85761434375243,0,0.85761434375243,NA
"18","VC DMSO 0.3%",1,1,"Pt_48",0,0.817723026298553,0,0.817723026298553,NA
"19","VC DMSO 0.3%",1,0.00411522633744856,"Sb_24",-2.38560627359831,0.865214164109918,0,0.865214164109918,NA
"20","VC DMSO 0.3%",1,0.0123456790123457,"Sb_24",-1.90848501887865,0.920846770974855,0,0.920846770974855,NA
"21","VC DMSO 0.3%",1,0.037037037037037,"Sb_24",-1.43136376415899,0.961175896063684,0,0.961175896063684,NA
"22","VC DMSO 0.3%",1,0.111111111111111,"Sb_24",-0.954242509439325,0.947851825106791,0,0.947851825106791,NA
"23","VC DMSO 0.3%",1,0.333333333333333,"Sb_24",-0.477121254719663,0.892088542102742,0,0.892088542102742,NA
"24","VC DMSO 0.3%",1,1,"Sb_24",0,0.841264065403124,0,0.841264065403124,NA
"25","VC DMSO 0.3%",1,0.00411522633744856,"Sb_25",-2.38560627359831,0.951086952051164,0,0.951086952051164,NA
"26","VC DMSO 0.3%",1,0.0123456790123457,"Sb_25",-1.90848501887865,0.919245881170563,0,0.919245881170563,NA
"27","VC DMSO 0.3%",1,0.037037037037037,"Sb_25",-1.43136376415899,0.903358836640949,0,0.903358836640949,NA
"28","VC DMSO 0.3%",1,0.111111111111111,"Sb_25",-0.954242509439325,0.897943941140698,0,0.897943941140698,NA
"29","VC DMSO 0.3%",1,0.333333333333333,"Sb_25",-0.477121254719663,0.85348430078533,0,0.85348430078533,NA
"30","VC DMSO 0.3%",1,1,"Sb_25",0,0.176017028245213,0,0.176017028245213,NA
"31","VC DMSO 0.3%",1,0.00411522633744856,"Sb_26",-2.38560627359831,0.874704102545909,0,0.874704102545909,NA
"32","VC DMSO 0.3%",1,0.0123456790123457,"Sb_26",-1.90848501887865,0.90704933977811,0,0.90704933977811,NA
"33","VC DMSO 0.3%",1,0.037037037037037,"Sb_26",-1.43136376415899,0.840762015748351,0,0.840762015748351,NA
"34","VC DMSO 0.3%",1,0.111111111111111,"Sb_26",-0.954242509439325,0.882255258243506,0,0.882255258243506,NA
"35","VC DMSO 0.3%",1,0.333333333333333,"Sb_26",-0.477121254719663,0.846509319156806,0,0.846509319156806,NA
"36","VC DMSO 0.3%",1,1,"Sb_26",0,0.516409156387714,0,0.516409156387714,NA
"37","VC DMSO 0.3%",1,0.00411522633744856,"Sb_44",-2.38560627359831,0.880816941187904,0,0.880816941187904,NA
"38","VC DMSO 0.3%",1,0.0123456790123457,"Sb_44",-1.90848501887865,1.01508558349937,0,1.01508558349937,NA
"39","VC DMSO 0.3%",1,0.037037037037037,"Sb_44",-1.43136376415899,0.926619223489156,0,0.926619223489156,NA
"40","VC DMSO 0.3%",1,0.111111111111111,"Sb_44",-0.954242509439325,0.898893311042073,0,0.898893311042073,NA
"41","VC DMSO 0.3%",1,0.333333333333333,"Sb_44",-0.477121254719663,0.867387746292017,0,0.867387746292017,NA
"42","VC DMSO 0.3%",1,1,"Sb_44",0,0.919010662364208,0,0.919010662364208,NA
"43","VC DMSO 0.3%",1,0.00411522633744856,"Sp_35",-2.38560627359831,0.82171480250763,0,0.82171480250763,NA
"44","VC DMSO 0.3%",1,0.0123456790123457,"Sp_35",-1.90848501887865,0.860925173660292,0,0.860925173660292,NA
"45","VC DMSO 0.3%",1,0.037037037037037,"Sp_35",-1.43136376415899,0.823870706643122,0,0.823870706643122,NA
"46","VC DMSO 0.3%",1,0.111111111111111,"Sp_35",-0.954242509439325,0.789022704591249,0,0.789022704591249,NA
"47","VC DMSO 0.3%",1,0.333333333333333,"Sp_35",-0.477121254719663,0.708755099760512,0,0.708755099760512,NA
"48","VC DMSO 0.3%",1,1,"Sp_35",0,0.807345455167147,0,0.807345455167147,NA
"49","VC DMSO 0.3%",1,0.00411522633744856,"Sp_36",-2.38560627359831,0.869617747727844,0,0.869617747727844,NA
"50","VC DMSO 0.3%",1,0.0123456790123457,"Sp_36",-1.90848501887865,0.870909049252887,0,0.870909049252887,NA
"51","VC DMSO 0.3%",1,0.037037037037037,"Sp_36",-1.43136376415899,0.857717951375241,0,0.857717951375241,NA
"52","VC DMSO 0.3%",1,0.111111111111111,"Sp_36",-0.954242509439325,0.833114650408593,0,0.833114650408593,NA
"53","VC DMSO 0.3%",1,0.333333333333333,"Sp_36",-0.477121254719663,0.677962935177773,0,0.677962935177773,NA
"54","VC DMSO 0.3%",1,1,"Sp_36",0,0.372583142435928,0,0.372583142435928,NA
"55","VC DMSO 0.3%",1,0.00411522633744856,"Tt_07",-2.38560627359831,0.905387843807519,0,0.905387843807519,NA
"56","VC DMSO 0.3%",1,0.0123456790123457,"Tt_07",-1.90848501887865,0.897409627675801,0,0.897409627675801,NA
"57","VC DMSO 0.3%",1,0.037037037037037,"Tt_07",-1.43136376415899,0.933506046773596,0,0.933506046773596,NA
"58","VC DMSO 0.3%",1,0.111111111111111,"Tt_07",-0.954242509439325,0.843654920045837,0,0.843654920045837,NA
"59","VC DMSO 0.3%",1,0.333333333333333,"Tt_07",-0.477121254719663,0.876003391586657,0,0.876003391586657,NA
"60","VC DMSO 0.3%",1,1,"Tt_07",0,0.843474649625195,0,0.843474649625195,NA
